name,id
?,0
ab roller,0
abacus,0
ac,0
ac unit,0
ac vent,0
acapulco chair,50
adapter,0
adaptor,0
adhesive tape,0
aerosol can,0
air conditioner,11
air cooler,0
air diffuser,0
air freshener,0
air freshener bottle,0
air fryer,0
air mattress,0
air purifier,0
air vent,0
air-purifier,0
airplane,0
alarm,0
alarm clock,0
alexa,0
almirah,0
aluminium foil,0
amplifier,0
analogue clock,0
animal figurine,45
animal sculpture,45
antlers,0
apple,0
apples,0
apron,0
aquarium,0
arched way,0
archway,0
armchair,50
armchar,0
armoire,48
armrest,0
aroma diffuser,0
art frame,59
art piece,59
artframe,0
artificial branches,0
artificial flowers,29
artificial tree,29
artwork,0
ash tray,0
ashtray,0
attic door,55
baby bed,17
baby chair,50
baby changing station,0
baby cot,0
baby mattress,0
baby milk bottle,0
baby monitor,24
baby picture,59
baby safety gate,0
baby seat,50
baby stroller,0
baby tub,0
back splash,0
backpack,14
backrest,0
backsplash,0
backsplash wall,27
badge,0
badge holder,0
bae board,0
baeboard,0
bag,14
bag pack,14
bag roll,14
bagpack,14
bags,14
baking dish,26
baking pan,44
baking tray,0
bakset,0
balance trainer,0
ball,21
ball lamp,19
ballerina,0
balllerina,0
ballon,21
balloon,21
balls,21
baluster,0
balusters,0
banana,0
bananas,0
banner,0
bar chair,50
bar counter,0
bar high chair,50
bar high stool,25
bar lamp,19
bar stool,50
bar stools,0
barbell,0
barbell rod,0
barbie doll,15
barstool,50
basbeoard,0
base,0
base board,0
base boards,0
base borad,0
base cabinet,48
base cabinets,0
basebaord,0
baseboard,38
baseboard modling,38
baseboard molding,38
baseboiard,0
baseborad,0
basebord,0
baseoard,0
basin,41
basket,20
basketball ball,21
baskets,20
basseboard,0
bat,0
bath area,0
bath house,0
bath rob,0
bath robe,0
bath robes,0
bath seat,50
bath sponge,0
bath tub,0
bath-bench,50
bathing robe,131
bathrobe,0
bathroom area,0
bathroom cleaner,0
bathroom handle,0
bathroom hook,0
bathroom shelf,39
bathroom sink,41
bathroom tray,0
bathroom vanity,0
bathroon sink,41
bathtub,42
bathtub faucet,0
bathtub rack,1
bathtub surround,0
battery,0
beam,63
beams,63
bean bag,14
beater,0
bed,17
bed bench,15
bed sheet,0
bed tray,36
bedding,60
bedroom door,55
bedside reading lamp,19
bedside table,36
bell,0
belt,0
belts,0
bench,25
bi-cycle,0
bi-cycle stand,54
bicycle,0
bicycle showpiece,0
bidet,42
bin,35
binders,35
binocular,35
binoculars,35
bird cage,0
bird figurine,45
bird food,0
black,0
black board,0
blackboard,0
blanket,60
blankets,0
blender,11
blind,40
blinds,40
blinds wire,0
block notes,0
blood pressure monitor,24
blow dryer,11
bluetooth speaker,52
board,0
board game,0
board pin,0
boat,0
bobbin,0
body pillow,31
boiler,0
bolster pillow,31
book,3
book holder,3
book shelf,39
book stand,54
bookmark,0
books,0
bookshelf,48
boot,18
boots,0
botle,0
botlle,0
bottle,0
bottle holder,0
bottle opener,0
bottle rack,1
bottle set,0
bottled,0
bottles,0
bottom shelf,39
bouquet,0
bowl,26
bowls,0
box,62
boxes,0
boxing bag,14
bracelet,0
bread,0
bread box,62
bread maker,0
bread packet,0
breaker box,62
breakfast bar,0
briefcase,0
broach,0
broadband,0
brochure,0
broom,0
brush,0
brush holder,0
brush stand,54
brushes,0
bucket,0
bucket hat,0
buckets,0
buddhist sculpture,45
building block,0
built in light,19
built-in storage,0
built-in-cabinet,48
bulb,0
bulb holder,0
bulletin board,0
bumper plate,26
bunk bed,17
bunting,0
bunting banner,0
burner,0
bust,0
butter dish,26
butter knife,0
butter tray,0
cabana,0
cabinebar stool,25
cabinet,48
cabinet undermount light,19
cabinetry,48
cabinets,48
cable,0
cable box,62
cable cover,0
cable trunking,0
cactus,0
cactus plant,29
cage,0
cake,0
cake stand,54
calculator,0
calendar,0
calender,0
calorifere,0
camera,0
camera roll,0
camera stand,54
camping items,0
can,0
candelabrum,0
candle,0
