old_id,name,id
0,void,0
1,smartcustomizedceiling,30
2,cabinet/lightband,48
3,tea table,36
4,cornice,0
5,sewerpipe,5
6,children cabinet,48
7,hole,0
8,ceiling lamp,8
9,chaise longue sofa,46
10,lazy sofa,46
11,appliance,11
12,round end table,36
13,build element,0
14,dining chair,50
15,others,15
16,armchair,50
17,bed,17
18,two-seat sofa,46
19,lighting,19
20,kids bed,17
21,pocket,15
22,storage unit,22
23,media unit,23
24,slabside,0
25,footstool / sofastool / bed end stool / stool,25
26,300 - on top of others,15
27,customizedplatform,15
28,sideboard / side cabinet / console,48
29,plants,29
30,ceiling,30
31,slabtop,0
32,pendant lamp,8
33,lightband,33
34,electric,34
35,pier/stool,25
36,table,36
37,extrusioncustomizedceilingmodel,0
38,baseboard,38
39,front,0
40,wallinner,27
41,basin,41
42,bath,42
43,customizedpersonalizedmodel,15
44,baywindow,58
45,customizedfurniture,15
46,sofa,46
47,kitchen cabinet,47
48,cabinet,48
49,walltop,27
50,chair,50
51,floor,51
52,customizedceiling,30
53,500 - attach to ceiling,15
54,customizedbackgroundmodel,0
55,drawer chest / corner cabinet,48
56,tv stand,56
57,270 - attach to wall,15
58,window,58
59,art,59
60,back,0
61,accessory,15
62,200 - on the floor,15
63,beam,63
64,stair,64
65,wine cooler,48
66,outdoor furniture,15
67,double bed,17
68,dining table,36
69,cabinet/shelf/desk,48
70,single bed,17
71,classic chinese chair,50
72,corner/side table,36
73,flue,5
74,shelf,39
75,customizedfeaturewall,27
76,nightstand,4
77,recreation,77
78,lounge chair / book-chair / computer chair,50
79,slabbottom,15
80,dressing table,36
81,desk,65
82,column,44
83,dressing chair,50
84,wardrobe,48
85,extrusioncustomizedbackgroundwall,27
86,electronics,24
87,bunk bed,17
88,bed frame,17
89,three-seat / multi-person sofa,46
90,customizedfixedfurniture,15
91,bookcase / jewelry armoire,48
92,mirror,49
93,wallbottom,27
94,barstool,50
95,wallouter,27
96,l-shaped sofa,46
97,customized_wainscot,0
98,door,55
