name,id
wall,27
floor,51
ceiling,30
ceiling lamp,8
table,36
curtain,40
door,55
blinds,40
window,58
office chair,50
ceiling light,8
cabinet,48
bookshelf,48
chair,50
monitor,67
object,0
shelf,39
storage cabinet,48
window frame,0
pipe,5
fake ceiling,30
whiteboard,0
doorframe,0
box,62
heater,11
structure,0
storage rack,1
kitchen cabinet,47
sofa,46
tv,71
plant,29
shower wall,0
bed,17
computer tower,24
blanket,60
windowsill,0
trash can,35
window sill,0
books,0
trash bin,35
machine,11
wardrobe,48
cable tray,0
jacket,12
kitchen counter,0
roof,0
desk,65
pillar,44
sink,41
bag,14
towel,16
carpet,0
air duct,0
counter,0
keyboard,0
electrical duct,0
refrigerator,70
pillow,31
backpack,14
rug,0
suitcase,14
window blind,0
office table,36
blackboard,0
microwave,68
shower curtain,40
pedestal fan,69
clothes,0
printer,24
stool,25
beam,63
ladder,0
picture,0
fume hood,0
toilet,9
windowframe,0
joined tables,36
cupboard,47
crate,2
rack,1
pipe storage rack,1
blind,40
book,0
experiment bench,50
bottle,43
pipes,5
suspended ceiling,30
air conditioner,11
oven,68
shower floor,51
rolling cart,59
bathtub,42
beverage crate,2
mirror,49
paper,3
power socket,0
ceiling beam,63
construction materials,0
bucket,0
glass wall,27
shoe rack,1
bench,50
shoes,18
telephone,28
basket,20
mattress,60
stove,11
gym mat,0
cardboard box,62
bin,35
pc,0
objects,0
milling machine,11
photocopy machine,11
tv stand,56
lab equipment,11
laboratory bench,50
poster,0
open cabinet,48
trolley,14
scientific equipment,11
lab machine,11
whiteboards,0
standing lamp,54
blind rail,0
coat,12
ceiling lights,8
washing machine,11
laptop,28
cushion,66
hydraulic press,0
office cabinet,48
file cabinet,48
laboratory cabinet,48
ceiling ventilator,30
kitchen unit,0
board,0
beanbag,14
raised floor,51
cloth,0
office desk,65
fan,69
medical appliance,11
dishwasher,11
copier,0
3d printer,24
electrical control panel,0
partition,59
arm chair,50
stairs,64
radiator,0
coffee table,36
cart,59
flat panel display,0
file folder,15
coffee machine,11
cardboard,0
floor mounted air conditioner,11
television,71
couch,46
headboard,0
stage,0
exhaust fan,69
drying rack,1
interactive board,0
laundry basket,20
cables,0
vacuum cleaner,11
plant pot,44
coffee maker,0
wire tray,0
training equipment,11
sliding door,55
comforter,0
work bench,50
bathroom cabinet,48
fridge,70
bar counter,0
rolling blinds,40
painting,0
projector,0
hose,0
storage trolley,14
coat hanger,0
laboratory equipment,11
duvet,0
sofa chair,46
air vent,0
dining chair,50
tv screen,67
table lamp,19
fume cupboard,48
paper towel dispenser,0
vent,0
ventilation pipe,5
kitchen sink,41
floor lamp,19
nightstand,4
electrical panel,0
kettle,44
ceiling pipe,5
classroom table,36
bedsheet,17
bottles,43
steel beam,63
treadmill,0
clothes hanger,0
light switch,34
clothes dryer,11
bicycle,0
electric duct,0
papers,3
speaker,52
light,19
container,2
armchair,50
l-shaped sofa,46
pinboard,0
shower partition,0
closet,48
fire extinguisher,0
computer desk,65
lounge chair,50
lamp,19
office visitor chair,50
garage door,55
range hood,0
staircase railing,64
conference table,36
book shelf,39
power strip,0
dresser,48
ping pong table,36
rolling chair,50
bathroom stall,0
tripod,0
shirt,0
false ceiling,30
coat rack,1
cloth rack,1
roller blinds,40
cable,0
bedside table,36
shoe,18
air pipe,5
brick wall,27
decoration,45
cloth hangers,0
urinal,0
ceiling vent,30
mug,0
folder,15
frame,0
bar stool,25
compressor,0
tile wall,27
seat,0
skylight,0
cardboards,0
mouse,0
loft bed,17
foosball table,36
indoor crane,0
squat rack,1
umbrella,0
high stool,25
electrical box,62
pallet cage,0
backdrop,0
tablecloth,36
robot car,0
overhead projector,0
folding screen,67
cpu,0
standing poster,54
dining table,36
high table,36
cup,61
smoke detector,0
desk fan,69
banner,0
microscope,0
drum,0
standing fan,69
coat stand,54
barbecue grill,0
console,48
room divider,0
side table,36
medical machine,11
paper bag,14
toilet paper,0
wall cabinet,48
shower ceiling,30
christmas tree,0
kitchen towel,16
bathroom mat,0
vertical blinds,40
tap,0
crates,2
guitar,0
exhaust duct,0
luggage,14
monitor cover,0
floor sofa,46
tray,0
rolling table,36
ventilation duct,0
folding room divider,0
desk lamp,19
storage box,62
freezer display counter,0
broom,53
vr setup,0
yoga mat,0
projector screen,67
canvas,0
surfboard,0
shower,0
water filter,0
racing simulator,0
car door,0
interactive whiteboard,0
bath cabinet,48
pot,44
chairs,50
file organizer,15
standing banner,54
wheelchair,50
jug,0
partition wall,27
tool rack,1
shoes holder,54
pan,0
mat,0
bathroom floor,0
rice cooker,0
shower head,0
curtains,40
socket,0
tote bag,14
electrical cabinet,48
jar,32
toilet brush,53
wall lamp,19
paper towel,16
cleaning trolley,14
curtain rod,0
plate,0
storage shelf,39
high bench,50
flowers,29
blackboard frame,0
hose pipe,5
babyfoot table,36
dish rack,1
folders,15
foldable closet,48
vase,7
bath tub,42
bed frame,17
air purifier,0
cubicle door,55
file rack,1
exercise ball,21
cutting board,0
file binder,15
bathroom counter,0
dustbin,35
ceiling cables,30
plastic case,2
sweater,0
power cables,0
janitor cart,59
slippers,0
laptop stand,54
boots,0
plank,0
ottoman,25
cord cover,0
binder,0
small cabinet,48
duct,0
folding sofa,46
towel radiator,0
paper organizer,15
climbing wall,27
wooden frame,0
kitchen shelf,39
faucet,0
bathroom shelf,39
light panel,0
headphones,28
soap dispenser,0
ac system,0
paper towels,16
phone,28
desk organizer,65
toy,0
bottle crate,62
microwave oven,68
rolled paper,3
spray bottle,43
helmet,0
trashcan,35
bowl,13
tower pc,0
trolley table,36
exhaust pipe,5
shelf trolley,14
copy machine,11
filer organizer,15
curtain rail,0
grab bar,0
information board,0
piano,0
garage shelf,39
hanging closet,48
instant pot,44
wall beam,63
notebook,0
basin,41
table football,15
whiteboard eraser,0
paper shredder,3
notice board,0
plastic bag,14
paper tray,3
metal board,0
dishes,0
sheet,0
mop,0
plumbing pipe,5
toaster,0
shower pan,0
locker,0
air fryer,0
jackets,12
hanger,0
tv mount,0
tissue box,62
information stand,54
floor scrubber,51
weighing scale,0
workbench,50
